受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26030302,21,1,34.5,27.7,47.3,21.7,59.9,45.7,54.0,43.4,47.7,51.8,48.8,58.3,39.8,44.7,49.7,51.0,41.1,34.4,41.9,38.1,48.6,42.7,53.5,41.4,60.4,36.5,33.6,57.5,54.8,57.8,56.4,53.3,44.5,54.2,40.7,51.9,35.3,47.3
26030304,21,1,38.0,48.5,58.0,25.2,49.8,53.9,54.0,36.8,24.5,51.8,39.6,42.3,37.9,44.7,46.0,38.9,32.0,57.3,25.5,44.4,48.6,41.6,48.9,41.4,47.0,36.5,49.8,36.1,37.9,37.8,43.0,39.7,54.0,60.5,40.7,55.9,60.1,52.2
26030406,25,0,46.1,56.1,45.1,38.9,43.8,57.6,54.0,43.4,56.3,45.3,58.0,37.0,53.7,53.0,38.5,59.1,50.3,61.2,50.2,50.6,52.4,54.1,58.1,63.2,42.6,49.6,53.8,54.2,43.5,52.8,56.4,57.9,55.9,57.3,62.7,47.9,45.2,47.3
26030604,22,1,53.8,51.5,68.8,48.1,41.8,54.6,54.0,46.6,50.2,42.0,53.9,47.6,53.1,44.7,49.7,51.0,54.9,53.5,50.2,50.6,60.1,51.0,44.2,52.3,51.5,53.9,49.8,47.7,43.5,47.8,47.5,53.3,45.4,44.8,46.2,51.9,45.2,47.3
26030606,22,0,62.1,55.9,60.8,53.6,47.8,60.6,54.0,52.1,49.0,36.3,40.1,37.0,63.9,65.3,57.1,63.1,45.7,65.0,54.3,56.9,60.1,34.0,20.0,46.9,33.6,49.6,45.7,36.1,32.3,32.8,47.5,44.2,52.7,41.7,51.7,59.8,60.1,52.2
26030709,22,0,38.5,61.6,50.2,58.5,55.8,44.2,46.2,49.9,49.0,33.9,58.0,42.3,62.5,53.0,53.4,67.2,59.5,57.3,50.2,56.9,64.0,48.0,44.2,41.4,51.5,53.9,49.8,49.3,43.5,42.8,56.4,53.3,60.7,47.9,62.7,63.8,60.1,52.2
26031110,24,1,57.1,36.4,51.1,52.0,57.9,47.9,42.2,52.1,52.6,57.5,56.0,47.6,77.6,80.0,71.9,63.1,73.3,45.9,66.6,63.2,75.5,63.5,58.1,41.4,64.8,62.6,66.0,64.1,54.8,62.8,56.4,67.0,52.7,60.5,35.2,51.9,60.1,62.0
26031201,23,0,58.2,48.5,58.0,55.3,43.8,53.9,50.1,49.9,47.7,48.6,33.5,39.6,61.0,61.2,57.1,59.1,50.3,65.0,58.4,50.6,52.4,44.6,48.9,46.9,42.6,45.2,49.8,47.7,49.2,47.8,47.5,48.8,65.0,60.5,57.2,63.8,60.1,62.0
26031213,21,0,47.1,51.7,58.7,43.3,57.9,53.9,57.9,49.9,52.6,48.6,51.4,37.0,64.3,65.3,34.8,75.2,59.5,57.3,62.5,56.9,56.3,58.2,58.1,41.4,64.8,53.9,57.9,50.9,54.8,37.8,60.9,48.8,66.3,54.2,68.1,59.8,60.1,62.0
26031401,22,0,20.0,35.1,54.1,51.9,43.8,43.4,34.4,58.7,49.0,54.3,32.5,53.0,49.4,65.3,42.3,59.1,54.9,38.2,66.6,25.6,44.8,48.4,62.8,46.9,51.5,40.9,45.7,44.4,26.6,47.8,47.5,57.9,64.5,60.5,68.1,51.9,60.1,52.2
