受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26041804,21,0,41.8,49.2,54.1,45.9,51.8,37.5,46.2,45.5,45.3,39.6,44.7,61.0,48.1,53.0,49.7,42.9,41.1,53.5,54.3,50.6,44.8,49.5,48.9,46.9,55.9,49.6,45.7,50.9,43.5,52.8,51.9,53.3,43.0,35.4,46.2,51.9,50.2,47.3
26041806,21,1,45.7,36.2,60.8,51.8,41.8,40.5,50.1,42.3,37.9,34.7,52.9,47.6,50.8,53.0,46.0,59.1,68.7,38.2,50.2,50.6,40.9,41.9,44.2,41.4,47.0,40.9,49.8,50.9,43.5,52.8,51.9,53.3,51.4,47.9,62.7,44.0,45.2,47.3
26041808,21,0,44.0,34.5,38.0,46.5,57.9,44.9,61.8,52.1,58.8,60.8,56.0,63.7,43.9,32.4,49.7,42.9,45.7,38.2,62.5,63.2,37.1,55.6,62.8,63.2,42.6,53.9,49.8,64.1,54.8,62.8,65.3,57.9,54.8,60.5,35.2,59.8,60.1,62.0
26042102,21,0,41.5,56.1,49.9,29.3,59.9,44.2,50.1,49.9,50.2,57.5,44.2,61.0,55.8,65.3,53.4,55.0,64.1,49.7,50.2,44.4,48.6,49.5,58.1,57.8,60.4,36.5,37.6,55.9,54.8,52.8,56.4,53.3,59.1,54.2,68.1,55.9,55.1,37.4
26042104,21,1,54.5,30.4,48.9,46.8,35.7,38.2,50.1,49.9,37.9,47.7,39.6,42.3,43.9,57.1,57.1,42.9,41.1,45.9,41.9,44.4,40.9,43.4,44.2,52.3,42.6,40.9,49.8,46.0,49.2,52.8,34.1,53.3,54.4,51.1,57.2,51.9,55.1,47.3
26042107,25,1,61.0,49.7,53.9,58.5,61.9,47.9,30.5,43.4,30.6,50.2,21.7,58.3,26.3,32.4,46.0,34.9,27.4,42.0,29.6,31.9,37.1,32.8,58.1,30.5,42.6,27.8,37.6,27.9,32.3,52.8,25.2,26.0,36.8,47.9,35.2,32.0,55.1,37.4
26042108,21,1,47.1,44.0,33.0,44.0,65.9,47.9,57.9,35.7,45.3,64.1,53.9,58.3,40.8,36.5,53.4,38.9,45.7,42.0,46.0,56.9,37.1,51.8,58.1,46.9,64.8,40.9,45.7,54.2,54.8,52.8,47.5,57.9,54.0,60.5,40.7,55.9,60.1,52.2
26042202,21,1,57.1,44.5,48.5,31.0,53.8,39.7,50.1,49.9,57.6,57.5,46.8,61.0,41.7,44.7,38.5,42.9,41.1,45.9,50.2,44.4,48.6,51.8,58.1,46.9,60.4,45.2,45.7,54.2,49.2,52.8,56.4,53.3,47.6,54.2,40.7,51.9,45.2,52.2
26042304,23,0,62.8,56.6,36.6,48.5,61.9,47.9,46.2,45.5,51.4,60.8,63.7,53.0,60.0,61.2,68.2,51.0,50.3,49.7,41.9,56.9,71.6,55.2,62.8,57.8,51.5,45.2,53.8,57.5,60.4,42.8,56.4,62.4,49.6,47.9,46.2,59.8,60.1,37.4
26042305,22,1,41.3,24.3,43.5,33.1,51.8,37.5,54.0,39.0,37.9,45.3,47.8,47.6,52.9,61.2,46.0,51.0,59.5,42.0,58.4,44.4,52.4,44.2,44.2,36.0,60.4,45.2,41.7,46.0,54.8,42.8,47.5,44.2,52.3,51.1,57.2,51.9,45.2,47.3
