受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26040305,21,0,41.0,42.2,46.4,58.4,57.9,62.1,65.8,43.4,66.1,64.1,59.6,28.9,63.5,61.2,57.1,59.1,59.5,53.5,50.2,63.2,64.0,67.3,58.1,63.2,60.4,66.9,57.9,60.8,60.4,62.8,60.9,48.8,66.3,60.5,62.7,63.8,60.1,57.1
26040404,22,0,61.4,53.4,63.8,38.2,53.8,56.1,61.8,45.5,62.5,51.8,46.8,58.3,60.4,65.3,60.8,63.1,54.9,45.9,54.3,56.9,52.4,64.7,62.8,52.3,60.4,58.3,66.0,64.1,54.8,57.8,65.3,62.4,64.0,60.5,57.2,63.8,60.1,57.1
26040711,22,1,49.6,59.9,57.6,48.7,41.8,42.7,46.2,36.8,42.8,36.3,48.3,37.0,58.3,61.2,46.0,67.2,50.3,38.2,62.5,50.6,64.0,34.0,39.6,25.1,42.6,45.2,41.7,39.4,43.5,52.8,38.6,35.1,53.5,47.9,62.7,51.9,45.2,47.3
26040714,21,0,57.9,40.6,59.0,46.5,57.9,24.8,38.3,39.0,20.0,54.3,66.7,53.0,38.5,36.5,64.5,47.0,36.6,45.9,25.5,44.4,44.8,24.1,62.8,20.0,42.6,23.5,29.5,57.5,60.4,62.8,56.4,44.2,42.3,51.1,62.7,28.1,45.2,20.0
26040716,21,0,63.8,55.9,55.8,56.0,69.9,45.7,69.7,43.4,49.0,64.1,56.5,63.7,31.9,36.5,34.8,30.8,36.6,38.2,33.7,56.9,40.9,50.7,62.8,46.9,42.6,49.6,53.8,60.8,49.2,52.8,65.3,62.4,48.6,60.5,35.2,40.0,60.1,57.1
26040905,21,1,38.7,34.1,49.0,54.1,41.8,43.4,46.2,42.3,44.1,42.8,41.2,37.0,49.8,48.9,57.1,51.0,41.1,45.9,50.2,44.4,60.1,42.7,44.2,46.9,51.5,40.9,41.7,41.1,43.5,52.8,34.1,44.2,50.2,47.9,57.2,47.9,45.2,47.3
26040907,21,0,50.8,56.8,68.9,61.2,29.7,50.1,42.2,45.5,33.0,57.5,40.6,61.0,36.5,32.4,64.5,30.8,36.6,30.5,37.8,63.2,40.9,48.8,58.1,41.4,64.8,36.5,45.7,44.4,60.4,57.8,38.6,30.6,30.5,51.1,29.7,20.0,50.2,37.4
26040909,21,0,34.8,66.5,47.4,52.8,59.9,42.7,57.9,58.7,57.6,48.6,38.6,66.4,37.7,32.4,57.1,51.0,41.1,34.4,41.9,50.6,33.3,30.2,58.1,20.0,42.6,32.2,33.6,60.8,43.5,62.8,56.4,67.0,53.0,60.5,40.7,55.9,60.1,47.3
26041003,21,1,53.1,51.1,57.7,55.4,65.9,50.9,61.8,40.1,42.8,60.8,58.5,61.0,45.4,44.7,60.8,42.9,45.7,57.3,25.5,56.9,44.8,49.1,53.5,46.9,55.9,45.2,45.7,60.8,60.4,57.8,60.9,53.3,32.7,47.9,35.2,40.0,35.3,27.6
26041006,21,1,37.3,53.5,41.0,52.8,47.8,47.9,46.2,54.3,42.8,57.5,51.4,61.0,43.1,36.5,64.5,38.9,41.1,45.9,54.3,50.6,37.1,47.6,58.1,46.9,42.6,53.9,41.7,44.4,32.3,52.8,38.6,57.9,45.7,44.8,51.7,36.0,55.1,47.3
26041007,21,1,53.8,66.1,41.5,46.0,65.9,65.0,57.9,45.5,53.9,58.3,60.1,58.3,56.0,53.0,57.1,51.0,54.9,49.7,54.3,63.2,48.6,56.7,62.8,63.2,55.9,40.9,53.8,60.8,60.4,62.8,60.9,48.8,65.0,60.5,57.2,63.8,60.1,62.0
26041010,21,0,49.7,47.8,20.0,45.9,35.7,34.5,42.2,42.3,42.8,58.3,36.0,61.0,43.3,40.6,46.0,42.9,59.5,30.5,50.2,50.6,48.6,37.0,58.1,36.0,42.6,32.2,41.7,44.4,54.8,42.8,43.0,44.2,41.4,54.2,40.7,40.0,45.2,37.4
26041101,21,1,59.0,38.5,56.4,40.9,45.8,41.2,42.2,45.5,42.8,34.7,51.4,45.0,47.7,44.7,57.1,59.1,41.1,49.7,50.2,38.1,48.6,41.9,44.2,36.0,51.5,40.9,49.8,46.0,43.5,42.8,56.4,44.2,48.9,47.9,51.7,51.9,45.2,47.3
26041102,23,1,51.7,53.9,53.7,60.5,55.8,56.1,54.0,54.3,55.1,55.1,44.7,45.0,64.7,65.3,57.1,59.1,59.5,53.5,58.4,56.9,64.0,54.4,58.1,52.3,51.5,53.9,49.8,47.7,43.5,47.8,47.5,53.3,59.1,60.5,62.7,51.9,50.2,47.3
26041103,21,0,52.8,52.0,33.6,58.7,43.8,50.9,54.0,47.7,47.7,39.6,50.9,61.0,55.8,44.7,53.4,59.1,41.1,57.3,58.4,56.9,56.3,33.6,53.5,46.9,24.7,27.8,49.8,39.4,43.5,32.8,38.6,53.3,42.2,47.9,40.7,51.9,45.2,37.4
26041105,27,1,50.2,48.8,42.0,49.3,47.8,53.1,57.9,47.7,51.4,57.5,61.1,61.0,36.7,53.0,46.0,38.9,41.1,42.0,29.6,38.1,44.8,56.3,53.5,57.8,51.5,58.3,49.8,49.3,49.2,52.8,51.9,44.2,35.4,57.3,40.7,24.1,35.3,32.5
26041108,21,1,52.2,52.7,33.2,39.7,53.8,45.7,50.1,39.0,46.5,64.1,48.3,42.3,31.9,32.4,49.7,42.9,27.4,42.0,37.8,44.4,33.3,49.9,62.8,52.3,42.6,49.6,45.7,42.7,49.2,32.8,56.4,39.7,33.0,54.2,35.2,36.0,30.4,27.6
26041109,21,1,49.0,33.4,58.6,46.3,47.8,33.8,30.5,52.1,44.1,52.6,36.0,53.0,38.3,44.7,38.5,51.0,50.3,42.0,46.0,31.9,37.1,37.8,48.9,36.0,38.1,45.2,41.7,32.8,32.3,47.8,20.7,48.8,55.5,60.5,51.7,51.9,55.1,47.3
26041403,21,0,64.7,52.3,47.6,51.5,47.8,45.7,54.0,47.7,46.5,37.9,48.8,55.7,50.4,53.0,46.0,51.0,59.5,38.2,54.3,56.9,44.8,43.4,39.6,46.9,51.5,49.6,37.6,52.6,43.5,52.8,56.4,53.3,50.8,51.1,46.2,51.9,50.2,57.1
26041404,21,0,39.9,44.5,50.3,55.2,49.8,47.9,57.9,45.5,50.2,33.9,53.4,58.3,48.1,48.9,27.4,51.0,59.5,45.9,50.2,56.9,48.6,49.9,53.5,46.9,51.5,45.2,53.8,52.6,43.5,52.8,56.4,53.3,57.5,51.1,57.2,55.9,60.1,52.2
26041406,21,1,55.3,59.9,50.1,54.7,67.9,56.1,57.9,58.7,62.5,60.8,60.1,50.3,53.7,53.0,53.4,59.1,36.6,30.5,66.6,63.2,56.3,72.3,62.8,63.2,64.8,66.9,66.0,72.3,60.4,67.8,69.8,67.0,67.3,60.5,62.7,63.8,60.1,62.0
26041407,21,0,33.4,51.0,56.1,39.1,53.8,45.7,50.1,56.5,42.8,51.8,47.3,53.0,43.3,44.7,53.4,42.9,45.7,42.0,58.4,31.9,48.6,50.3,53.5,46.9,55.9,45.2,49.8,47.7,49.2,52.8,38.6,53.3,53.5,47.9,62.7,51.9,45.2,47.3
26041410,22,1,45.2,46.4,47.8,51.2,37.8,47.9,50.1,51.0,51.4,24.9,45.2,50.3,56.8,57.1,57.1,59.1,59.5,53.5,37.8,50.6,60.1,39.3,44.2,46.9,33.6,45.2,45.7,49.3,32.3,52.8,56.4,53.3,46.8,47.9,51.7,51.9,45.2,37.4
26041412,22,0,50.2,29.7,43.9,50.6,41.8,45.7,42.2,46.6,44.1,41.2,32.0,39.6,52.9,53.0,60.8,47.0,54.9,45.9,41.9,56.9,56.3,39.7,44.2,36.0,38.1,53.9,41.7,34.5,32.3,47.8,34.1,39.7,44.8,54.2,46.2,40.0,45.2,42.3
26041413,21,1,54.2,58.8,24.1,58.9,61.9,56.1,61.8,41.2,35.5,58.3,48.8,37.0,48.7,48.9,68.2,30.8,32.0,65.0,58.4,38.1,52.4,40.0,44.2,52.3,47.0,36.5,37.6,42.7,54.8,20.0,60.9,44.2,37.7,51.1,29.7,36.0,50.2,47.3
26041414,21,0,52.5,61.3,60.4,49.8,65.9,46.4,50.1,47.7,56.3,61.6,55.0,50.3,48.1,44.7,49.7,42.9,45.7,49.7,41.9,63.2,52.4,70.8,62.8,63.2,64.8,62.6,66.0,62.5,54.8,52.8,65.3,62.4,54.8,54.2,40.7,59.8,60.1,62.0
26041501,21,2,33.2,58.8,48.7,53.4,47.8,48.6,46.2,41.2,51.4,58.3,50.9,66.4,48.9,44.7,57.1,55.0,45.7,57.3,46.0,44.4,44.8,56.3,58.1,46.9,64.8,53.9,45.7,39.4,60.4,42.8,38.6,30.6,49.9,60.5,40.7,51.9,50.2,47.3
26041601,21,1,40.0,27.8,43.7,33.4,69.9,43.4,42.2,45.5,42.8,55.1,52.9,63.7,27.5,36.5,38.5,34.9,41.1,34.4,29.6,31.9,40.9,48.4,58.1,52.3,55.9,45.2,33.6,46.0,43.5,57.8,29.6,57.9,42.8,51.1,29.7,51.9,55.1,47.3
26041701,21,0,60.8,50.9,59.0,55.6,59.9,53.9,54.0,41.2,52.6,64.1,57.5,61.0,56.2,44.7,60.8,63.1,45.7,53.5,54.3,56.9,52.4,48.0,48.9,46.9,55.9,45.2,45.7,52.6,54.8,52.8,56.4,44.2,46.6,47.9,46.2,51.9,45.2,47.3
26041706,22,0,42.6,47.3,62.0,50.8,57.9,50.1,57.9,58.7,49.0,52.6,43.7,45.0,60.8,48.9,53.4,59.1,54.9,49.7,66.6,56.9,64.0,53.3,53.5,52.3,51.5,53.9,49.8,50.9,49.2,47.8,43.0,62.4,59.1,60.5,62.7,51.9,50.2,47.3
26041707,23,0,38.0,41.7,45.8,45.9,37.8,45.7,42.2,47.7,60.0,39.6,37.1,50.3,48.3,48.9,46.0,55.0,50.3,42.0,46.0,50.6,52.4,43.1,48.9,46.9,38.1,45.2,49.8,50.9,43.5,57.8,47.5,53.3,56.7,51.1,62.7,51.9,55.1,47.3
26041801,21,1,63.7,49.3,49.8,48.1,61.9,59.1,65.8,49.9,60.0,57.5,55.5,39.6,73.9,69.5,64.5,67.2,73.3,61.2,54.3,63.2,67.8,49.9,44.2,46.9,38.1,58.3,61.9,62.5,49.2,57.8,65.3,62.4,63.2,54.2,68.1,51.9,60.1,57.1
26041802,21,1,43.5,37.6,44.6,49.1,41.8,29.3,26.6,48.8,29.4,20.0,29.4,47.6,36.7,44.7,53.4,38.9,50.3,34.4,50.2,20.0,44.8,37.0,39.6,41.4,24.7,58.3,41.7,37.8,43.5,42.8,25.2,53.3,34.1,57.3,35.2,28.1,30.4,37.4
26041803,21,1,39.7,65.5,60.3,54.4,61.9,51.6,54.0,34.6,58.8,61.6,61.1,66.4,40.2,32.4,57.1,42.9,45.7,38.2,46.0,63.2,29.4,63.2,62.8,57.8,64.8,58.3,49.8,62.5,60.4,62.8,60.9,53.3,50.9,54.2,46.2,47.9,50.2,57.1
26041805,22,1,49.9,44.3,42.2,51.6,55.8,53.9,54.0,35.7,60.0,54.3,67.7,53.0,56.0,53.0,49.7,63.1,41.1,65.0,50.2,44.4,60.1,60.9,62.8,57.8,51.5,58.3,57.9,49.3,49.2,47.8,56.4,44.2,56.3,47.9,57.2,55.9,50.2,62.0
26041811,22,0,56.5,57.8,60.4,53.4,67.9,59.1,65.8,39.0,44.1,60.8,64.2,63.7,42.5,40.6,60.8,42.9,45.7,45.9,37.8,38.1,52.4,51.8,58.1,52.3,60.4,40.9,45.7,57.5,60.4,52.8,56.4,53.3,38.6,60.5,40.7,36.0,30.4,32.5
26042101,28,0,53.8,65.0,51.8,57.5,49.8,41.2,57.9,43.4,35.5,20.0,24.8,45.0,39.2,48.9,20.0,42.9,54.9,30.5,29.6,63.2,56.3,30.6,39.6,36.0,20.3,45.2,45.7,20.0,20.0,20.0,20.0,44.2,27.2,20.0,57.2,24.1,35.3,37.4
26042203,21,0,54.0,53.9,60.4,60.5,63.9,68.0,65.8,45.5,71.0,64.1,67.7,58.3,66.6,61.2,60.8,59.1,59.5,57.3,50.2,63.2,71.6,70.8,62.8,63.2,60.4,66.9,66.0,69.0,60.4,62.8,69.8,62.4,65.0,54.2,62.7,63.8,60.1,62.0
26042401,21,1,61.7,52.6,61.6,61.1,57.9,46.4,34.4,39.0,41.6,60.8,61.6,61.0,41.0,32.4,57.1,42.9,32.0,49.7,50.2,38.1,52.4,56.0,44.2,63.2,47.0,66.9,45.7,50.9,49.2,57.8,47.5,48.8,60.7,60.5,51.7,59.8,60.1,57.1
