受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26041005,22,0,38.1,50.3,56.5,63.2,65.9,53.9,50.1,44.5,44.1,57.5,62.1,61.0,39.0,36.5,64.5,38.9,41.1,57.3,41.9,25.6,40.9,61.7,62.8,52.3,60.4,62.6,49.8,55.9,60.4,57.8,47.5,53.3,45.8,60.5,40.7,36.0,55.1,42.3
26041106,22,0,65.3,61.7,53.4,56.5,53.8,62.1,65.8,52.1,62.5,57.5,59.6,53.0,68.1,61.2,57.1,71.2,50.3,61.2,66.6,56.9,64.0,68.5,58.1,57.8,64.8,66.9,61.9,55.9,60.4,52.8,51.9,53.3,60.5,57.3,51.7,59.8,60.1,62.0
26041107,21,1,39.4,52.8,51.4,52.0,39.8,47.9,61.8,40.1,64.9,51.0,55.0,58.3,61.4,57.1,57.1,67.2,50.3,61.2,46.0,56.9,60.1,45.7,58.1,46.9,51.5,36.5,45.7,39.4,54.8,27.8,56.4,30.6,51.9,54.2,46.2,47.9,60.1,52.2
26041402,24,1,63.6,40.5,70.3,52.9,59.9,49.4,46.2,46.6,63.7,58.3,46.8,55.7,44.2,44.7,38.5,51.0,45.7,45.9,50.2,44.4,48.6,49.9,53.5,36.0,60.4,45.2,53.8,44.4,54.8,52.8,38.6,39.7,48.7,51.1,46.2,51.9,50.2,47.3
26041409,21,1,46.6,49.5,61.4,52.6,59.9,52.4,42.2,43.4,55.1,60.8,41.7,42.3,51.9,57.1,57.1,51.0,54.9,53.5,50.2,38.1,48.6,52.2,44.2,52.3,51.5,53.9,53.8,57.5,60.4,52.8,56.4,53.3,58.1,60.5,62.7,51.9,45.2,47.3
26041502,21,1,32.3,40.5,58.5,51.4,53.8,42.7,50.1,42.3,49.0,49.4,43.2,50.3,50.4,44.7,53.4,63.1,41.1,38.2,54.3,50.6,56.3,43.8,44.2,46.9,51.5,40.9,45.7,49.3,43.5,52.8,47.5,53.3,50.2,54.2,51.7,47.9,45.2,47.3
26041503,21,0,39.8,50.4,65.3,59.8,69.9,65.8,57.9,46.6,60.0,60.8,53.4,42.3,65.6,69.5,57.1,51.0,73.3,57.3,50.2,56.9,64.0,62.4,62.8,57.8,51.5,62.6,57.9,62.5,54.8,57.8,56.4,67.0,51.2,60.5,46.2,51.9,45.2,47.3
26041504,21,0,40.8,50.4,62.2,43.3,65.9,46.4,50.1,49.9,40.4,51.8,45.2,63.7,28.5,32.4,42.3,42.9,27.4,30.5,33.7,50.6,33.3,40.8,58.1,36.0,33.6,45.2,49.8,36.1,32.3,42.8,29.6,53.3,46.8,54.2,46.2,44.0,45.2,47.3
26041703,21,1,47.2,49.8,59.4,39.5,45.8,44.2,42.2,41.2,41.6,39.6,44.7,34.3,48.7,53.0,46.0,51.0,54.9,53.5,46.0,44.4,44.8,48.4,44.2,46.9,51.5,53.9,45.7,41.1,43.5,47.8,43.0,39.7,43.2,47.9,40.7,47.9,45.2,47.3
26041704,21,1,38.3,37.8,50.4,48.0,49.8,45.7,50.1,41.2,50.2,51.8,64.7,55.7,49.4,44.7,57.1,63.1,50.3,34.4,50.2,50.6,48.6,44.6,48.9,46.9,51.5,36.5,49.8,52.6,49.2,57.8,47.5,53.3,56.2,51.1,51.7,59.8,55.1,57.1
26041705,21,1,53.3,61.4,52.0,56.6,61.9,50.9,57.9,45.5,53.9,60.8,56.0,58.3,59.3,53.0,64.5,51.0,59.5,49.7,58.4,56.9,56.3,58.2,62.8,52.3,55.9,53.9,53.8,54.2,49.2,52.8,56.4,53.3,60.7,60.5,51.7,59.8,60.1,57.1
26041810,21,1,48.2,54.4,43.2,35.5,51.8,45.7,46.2,49.9,34.3,54.3,59.1,53.0,39.2,40.6,60.8,38.9,36.6,42.0,37.8,50.6,40.9,45.7,58.1,46.9,42.6,45.2,45.7,42.7,43.5,42.8,43.0,48.8,28.2,44.8,29.7,24.1,40.3,37.4
26041812,23,1,63.5,46.3,56.2,52.6,47.8,48.6,46.2,54.3,63.7,55.9,50.9,53.0,66.0,69.5,57.1,75.2,59.5,38.2,66.6,50.6,64.0,58.6,53.5,57.8,51.5,58.3,57.9,62.5,54.8,62.8,51.9,67.0,62.7,47.9,62.7,63.8,60.1,62.0
26042105,21,1,30.8,56.9,41.5,51.4,45.8,47.9,57.9,42.3,49.0,51.8,55.5,63.7,43.3,40.6,46.0,38.9,41.1,57.3,50.2,50.6,40.9,51.0,53.5,46.9,55.9,53.9,41.7,44.4,49.2,52.8,43.0,39.7,37.0,44.8,40.7,36.0,40.3,42.3
26042201,21,1,46.4,61.8,58.6,50.4,55.8,53.9,54.0,30.2,53.9,57.5,68.3,66.4,46.6,44.7,38.5,63.1,50.3,49.7,41.9,56.9,37.1,61.3,58.1,52.3,64.8,53.9,57.9,54.2,60.4,57.8,51.9,44.2,49.6,60.5,35.2,51.9,60.1,47.3
26042301,21,1,46.1,49.0,48.1,32.4,47.8,42.7,38.3,40.1,44.1,51.8,33.0,47.6,43.3,44.7,46.0,42.9,50.3,45.9,41.9,50.6,44.8,54.8,62.8,46.9,60.4,53.9,41.7,21.3,26.6,22.8,38.6,26.0,45.5,41.7,51.7,44.0,50.2,47.3
26042302,22,0,61.8,50.9,44.5,42.7,61.9,45.7,50.1,54.3,49.0,60.8,52.4,47.6,46.4,53.0,42.3,47.0,59.5,38.2,62.5,31.9,48.6,60.1,53.5,57.8,51.5,62.6,57.9,60.8,54.8,67.8,47.5,62.4,65.3,60.5,62.7,55.9,60.1,62.0
26042303,24,0,47.0,52.0,56.6,34.7,61.9,47.2,38.3,37.9,25.7,33.1,61.6,55.7,45.2,40.6,49.7,42.9,50.3,53.5,54.3,44.4,40.9,50.3,53.5,46.9,60.4,40.9,49.8,47.7,54.8,42.8,47.5,48.8,47.5,57.3,35.2,55.9,50.2,47.3
