受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26120504,21,1,58.1,50.5,59.9,60.6,49.8,51.6,46.2,49.9,61.2,55.9,34.0,45.0,54.6,44.7,46.0,55.0,59.5,61.2,50.2,56.9,48.6,45.0,39.6,36.0,42.6,58.3,53.8,44.4,26.6,47.8,51.9,53.3,49.6,47.9,46.2,51.9,55.1,52.2
26120509,20,1,57.1,52.9,49.9,54.3,49.8,56.1,54.0,45.5,52.6,60.8,53.4,55.7,53.5,48.9,57.1,63.1,50.3,45.9,54.3,50.6,48.6,56.0,48.9,52.3,51.5,58.3,57.9,49.3,49.2,52.8,56.4,39.7,54.8,47.9,46.2,59.8,60.1,62.0
26120510,22,1,53.2,56.9,66.5,51.6,65.9,68.0,61.8,40.1,55.1,58.3,64.2,61.0,52.5,53.0,53.4,51.0,41.1,53.5,62.5,44.4,52.4,50.7,30.3,63.2,55.9,49.6,49.8,60.8,54.8,57.8,56.4,62.4,52.7,54.2,40.7,51.9,60.1,62.0
26120512,23,1,38.8,41.8,65.1,38.0,63.9,56.8,50.1,34.6,49.0,52.6,58.0,50.3,52.3,44.7,49.7,67.2,54.9,38.2,66.6,50.6,40.9,52.9,53.5,46.9,51.5,53.9,53.8,50.9,54.8,52.8,56.4,39.7,57.7,51.1,62.7,51.9,60.1,47.3
26120513,22,1,62.5,63.5,60.7,49.0,63.9,53.9,57.9,49.9,53.9,55.9,53.9,58.3,42.1,48.9,53.4,42.9,45.7,34.4,41.9,50.6,44.8,52.2,48.9,52.3,51.5,53.9,49.8,52.6,43.5,52.8,51.9,57.9,61.7,60.5,51.7,59.8,60.1,62.0
26120514,21,1,36.9,58.4,70.3,52.5,51.8,50.9,50.1,52.1,53.9,36.3,54.5,45.0,48.9,36.5,42.3,63.1,41.1,53.5,58.4,56.9,40.9,52.2,53.5,63.2,51.5,45.2,45.7,54.2,49.2,57.8,51.9,53.3,52.5,60.5,51.7,47.9,40.3,52.2
26120515,20,1,55.8,61.3,66.5,53.8,55.8,56.1,61.8,54.3,61.2,64.1,59.6,47.6,43.5,44.7,49.7,42.9,36.6,38.2,58.4,56.9,40.9,61.7,62.8,52.3,64.8,58.3,49.8,52.6,49.2,57.8,56.4,44.2,57.5,57.3,51.7,51.9,60.1,57.1
26120903,21,0,47.8,58.5,52.4,52.4,63.9,56.1,61.8,35.7,51.4,60.8,57.5,58.3,45.8,40.6,53.4,42.9,41.1,49.7,46.0,56.9,48.6,57.9,62.8,57.8,60.4,53.9,41.7,52.6,60.4,62.8,43.0,44.2,37.8,47.9,35.2,44.0,35.3,47.3
26120906,24,2,60.3,42.9,45.4,51.2,61.9,53.9,61.8,43.4,50.2,64.1,67.7,61.0,46.6,53.0,53.4,51.0,36.6,53.5,41.9,44.4,48.6,50.3,58.1,52.3,42.6,53.9,45.7,55.9,54.8,57.8,56.4,48.8,51.3,57.3,51.7,51.9,45.2,42.3
26121201,22,2,53.8,55.3,61.2,63.5,55.8,53.9,57.9,56.5,67.4,57.5,63.7,50.3,77.0,73.6,68.2,71.2,77.9,57.3,54.3,63.2,71.6,66.6,62.8,57.8,60.4,62.6,61.9,57.5,60.4,52.8,56.4,53.3,61.7,35.4,73.6,59.8,60.1,62.0
