受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26021401,21,1,38.5,63.8,57.8,55.7,57.9,57.6,57.9,42.3,53.9,52.6,57.0,61.0,56.0,48.9,71.9,59.1,50.3,61.2,37.8,63.2,40.9,63.9,62.8,57.8,64.8,53.9,57.9,64.1,54.8,67.8,60.9,57.9,50.7,54.2,40.7,47.9,60.1,57.1
26021402,21,0,62.6,56.0,48.5,60.6,37.8,39.7,54.0,56.5,45.3,37.9,27.9,58.3,51.4,44.7,49.7,47.0,59.5,49.7,54.3,63.2,40.9,36.2,58.1,52.3,20.0,36.5,49.8,42.7,21.0,52.8,38.6,62.4,42.5,47.9,46.2,32.0,50.2,47.3
26021405,21,0,53.8,58.0,47.5,58.4,61.9,59.8,54.0,45.5,49.0,64.1,52.9,66.4,60.4,48.9,60.8,55.0,68.7,42.0,62.5,56.9,60.1,60.5,53.5,57.8,64.8,53.9,53.8,59.2,60.4,57.8,51.9,57.9,62.2,60.5,62.7,55.9,45.2,62.0
26021802,21,1,23.8,64.4,54.4,49.8,45.8,53.9,65.8,45.5,52.6,51.0,61.6,63.7,51.0,48.9,57.1,51.0,45.7,45.9,54.3,63.2,40.9,60.1,58.1,52.3,64.8,53.9,53.8,62.5,60.4,52.8,60.9,62.4,51.0,57.3,46.2,51.9,50.2,47.3
26021803,21,1,61.8,64.0,36.8,50.3,69.9,59.1,73.6,56.5,66.1,64.1,65.7,55.7,59.8,61.2,64.5,71.2,41.1,42.0,50.2,63.2,56.3,62.4,62.8,57.8,64.8,49.6,57.9,65.8,60.4,52.8,65.3,67.0,67.3,54.2,68.1,63.8,60.1,62.0
26021804,22,1,54.0,34.4,43.5,47.7,53.8,46.4,46.2,45.5,46.5,51.0,46.8,45.0,51.0,48.9,57.1,47.0,54.9,45.9,58.4,50.6,44.8,47.2,48.9,52.3,51.5,49.6,37.6,47.7,49.2,52.8,47.5,44.2,45.4,51.1,40.7,47.9,50.2,47.3
26021902,21,1,60.4,43.6,60.1,26.4,61.9,65.0,46.2,35.7,50.2,35.5,67.2,28.9,58.7,48.9,46.0,63.1,68.7,68.8,37.8,56.9,52.4,47.6,58.1,46.9,38.1,45.2,57.9,57.5,49.2,62.8,47.5,62.4,37.6,41.7,35.2,51.9,35.3,47.3
26021903,23,1,43.6,52.0,70.3,43.5,51.8,51.6,54.0,44.5,42.8,37.9,49.3,45.0,45.8,44.7,38.5,42.9,41.1,57.3,50.2,56.9,44.8,46.5,62.8,36.0,55.9,36.5,49.8,50.9,54.8,47.8,47.5,53.3,47.6,60.5,35.2,51.9,50.2,47.3
26021904,21,1,58.4,48.6,34.6,49.2,53.8,47.2,50.1,37.9,41.6,58.3,69.8,63.7,37.7,53.0,42.3,30.8,32.0,49.7,21.4,50.6,56.3,51.0,62.8,46.9,42.6,53.9,49.8,46.0,60.4,52.8,51.9,26.0,24.4,51.1,29.7,32.0,20.5,20.0
26021907,21,2,45.8,51.9,62.8,52.8,55.8,48.6,57.9,46.6,53.9,60.8,58.5,47.6,40.0,36.5,46.0,42.9,36.6,45.9,54.3,50.6,37.1,58.2,62.8,57.8,60.4,45.2,53.8,50.9,54.8,47.8,47.5,53.3,41.6,57.3,40.7,28.1,50.2,42.3
26021908,21,1,58.9,50.3,68.9,61.8,69.9,68.0,73.6,54.3,62.5,60.8,63.7,66.4,58.7,44.7,68.2,42.9,59.5,65.0,54.3,63.2,48.6,63.9,62.8,63.2,47.0,66.9,57.9,70.7,60.4,67.8,69.8,62.4,52.5,60.5,29.7,63.8,55.1,62.0
26021909,21,1,59.6,50.2,56.1,56.1,51.8,49.4,54.0,52.1,53.9,55.1,52.9,50.3,60.2,48.9,57.1,59.1,54.9,57.3,58.4,50.6,64.0,50.7,48.9,46.9,51.5,53.9,49.8,52.6,43.5,52.8,56.4,53.3,56.6,47.9,62.7,51.9,55.1,52.2
26022103,23,0,59.2,52.0,63.9,52.8,39.8,45.7,34.4,43.4,37.9,46.1,33.0,58.3,36.9,36.5,57.1,51.0,45.7,45.9,37.8,25.6,37.1,45.0,44.2,46.9,51.5,53.9,33.6,47.7,49.2,52.8,38.6,53.3,32.2,60.5,35.2,24.1,40.3,20.0
26022109,23,1,61.0,41.7,54.5,40.8,59.9,47.2,50.1,39.0,42.8,29.8,49.9,63.7,51.9,53.0,42.3,59.1,50.3,53.5,54.3,50.6,44.8,43.1,39.6,57.8,42.6,45.2,41.7,41.1,54.8,37.8,51.9,30.6,50.0,57.3,46.2,51.9,45.2,47.3
26022511,23,1,24.4,36.7,36.3,32.3,47.8,45.7,50.1,48.8,49.0,55.9,46.8,42.3,51.9,61.2,57.1,42.9,54.9,57.3,41.9,50.6,44.8,42.3,48.9,41.4,55.9,36.5,41.7,52.6,54.8,57.8,47.5,48.8,46.6,41.7,51.7,51.9,45.2,47.3
