受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26031707,21,1,51.2,37.5,51.3,54.4,69.9,50.9,61.8,47.7,51.4,64.1,66.7,61.0,47.3,44.7,42.3,38.9,54.9,45.9,58.4,44.4,56.3,61.3,62.8,63.2,60.4,49.6,53.8,59.2,60.4,57.8,43.0,67.0,55.0,60.5,62.7,36.0,40.3,57.1
26031801,23,1,52.5,35.7,47.0,40.7,59.9,52.4,54.0,31.3,44.1,58.3,57.5,58.3,42.3,44.7,49.7,42.9,41.1,45.9,41.9,50.6,44.8,46.9,53.5,41.4,60.4,45.2,37.6,49.3,60.4,52.8,51.9,35.1,49.1,60.5,46.2,44.0,45.2,47.3
26031804,22,1,37.2,51.5,66.2,45.0,59.9,62.1,61.8,35.7,39.2,47.7,56.5,47.6,56.0,53.0,71.9,38.9,45.7,49.7,54.3,63.2,56.3,40.4,58.1,30.5,51.5,53.9,21.4,50.9,60.4,47.8,60.9,35.1,57.8,60.5,57.2,36.0,60.1,62.0
26031808,21,1,54.8,63.9,66.3,65.5,67.9,62.1,54.0,59.8,60.0,64.1,60.1,55.7,73.3,65.3,60.8,71.2,64.1,61.2,58.4,63.2,71.6,66.6,62.8,63.2,60.4,58.3,61.9,65.8,60.4,62.8,60.9,62.4,58.1,47.9,51.7,63.8,60.1,62.0
26031810,22,1,53.3,45.8,70.3,20.0,53.8,56.8,57.9,58.7,60.0,54.3,51.4,58.3,62.5,61.2,53.4,67.2,54.9,49.7,58.4,56.9,60.1,65.4,62.8,63.2,60.4,58.3,57.9,59.2,54.8,57.8,60.9,53.3,58.7,57.3,57.2,55.9,55.1,52.2
26032708,29,0,56.1,37.7,51.4,45.1,51.8,41.2,46.2,42.3,46.5,40.4,61.1,61.0,34.4,32.4,34.8,38.9,41.1,42.0,41.9,56.9,33.3,45.0,48.9,25.1,55.9,53.9,45.7,39.4,43.5,52.8,47.5,26.0,44.1,51.1,35.2,55.9,55.1,37.4
26032710,21,1,40.2,47.3,58.3,45.5,51.8,56.1,54.0,47.7,58.8,57.5,52.4,53.0,65.2,53.0,57.1,63.1,59.5,61.2,62.5,63.2,56.3,53.3,53.5,46.9,60.4,49.6,49.8,54.2,54.8,47.8,60.9,48.8,67.3,60.5,62.7,63.8,60.1,62.0
26032803,21,1,48.2,56.8,55.3,60.0,57.9,53.9,65.8,58.7,66.1,64.1,41.7,61.0,50.6,44.7,71.9,51.0,50.3,30.5,50.2,56.9,52.4,69.2,62.8,63.2,64.8,58.3,66.0,60.8,60.4,67.8,38.6,67.0,65.3,60.5,62.7,59.8,60.1,57.1
26040103,23,1,45.7,36.3,61.0,52.1,49.8,43.4,50.1,52.1,44.1,47.7,39.1,47.6,42.1,40.6,53.4,51.0,41.1,38.2,50.2,50.6,37.1,40.0,48.9,41.4,33.6,45.2,49.8,50.9,37.9,52.8,51.9,57.9,31.2,35.4,35.2,36.0,45.2,37.4
26040201,21,1,57.4,54.9,63.4,47.6,49.8,47.2,38.3,47.7,49.0,58.3,44.2,47.6,55.8,77.7,46.0,47.0,64.1,49.7,54.3,25.6,64.0,59.0,58.1,57.8,60.4,53.9,49.8,54.2,60.4,52.8,38.6,62.4,56.9,51.1,68.1,51.9,45.2,47.3
26040202,21,0,46.0,25.8,43.8,52.3,53.8,46.4,50.1,49.9,41.6,32.2,34.5,39.6,45.0,48.9,46.0,38.9,54.9,53.5,46.0,25.6,60.1,31.7,21.1,46.9,24.7,58.3,33.6,46.0,43.5,57.8,43.0,44.2,43.9,51.1,51.7,40.0,35.3,42.3
26040306,21,0,59.7,50.6,42.3,47.9,55.8,41.9,38.3,49.9,53.9,55.1,47.3,39.6,42.5,53.0,60.8,42.9,41.1,49.7,50.2,25.6,40.9,48.4,44.2,46.9,51.5,53.9,45.7,42.7,43.5,32.8,47.5,53.3,52.2,54.2,51.7,40.0,60.1,52.2
26040308,21,0,52.4,45.9,40.6,58.4,49.8,50.9,46.2,46.6,56.3,57.5,49.3,45.0,42.9,44.7,46.0,42.9,45.7,49.7,41.9,44.4,48.6,58.6,53.5,63.2,55.9,49.6,57.9,60.8,54.8,62.8,60.9,53.3,58.9,60.5,57.2,51.9,55.1,52.2
26040309,22,0,55.9,54.3,66.6,45.9,51.8,59.1,46.2,49.9,50.2,64.1,64.7,47.6,46.0,40.6,57.1,34.9,41.1,45.9,62.5,50.6,48.6,57.9,53.5,52.3,55.9,62.6,49.8,54.2,60.4,52.8,47.5,53.3,69.6,60.5,68.1,63.8,60.1,62.0
