受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26031108,22,0,41.1,41.9,43.8,47.7,49.8,46.4,57.9,39.0,45.3,46.9,59.6,45.0,58.5,53.0,57.1,59.1,64.1,53.5,37.8,63.2,56.3,48.0,35.0,46.9,51.5,49.6,57.9,47.7,54.8,42.8,43.0,53.3,54.6,51.1,62.7,51.9,50.2,42.3
26031113,22,1,53.0,50.1,55.3,56.6,61.9,47.2,30.5,41.2,60.0,58.3,49.9,61.0,45.4,40.6,53.4,42.9,36.6,49.7,41.9,63.2,48.6,60.9,62.8,36.0,64.8,62.6,57.9,47.7,54.8,57.8,38.6,44.2,58.1,60.5,40.7,63.8,60.1,62.0
26031203,21,1,65.0,48.5,55.0,30.9,45.8,35.2,26.6,47.7,49.0,37.1,21.2,39.6,38.7,57.1,31.1,42.9,36.6,45.9,50.2,31.9,44.8,37.8,35.0,46.9,33.6,53.9,37.6,34.5,20.0,42.8,34.1,62.4,30.0,26.0,40.7,36.0,40.3,42.3
26031205,21,1,45.0,61.5,55.4,60.8,61.9,59.8,65.8,43.4,53.9,49.4,65.7,66.4,44.6,32.4,53.4,42.9,41.1,49.7,46.0,63.2,44.8,52.5,62.8,57.8,47.0,45.2,49.8,52.6,54.8,57.8,43.0,53.3,47.3,47.9,40.7,51.9,50.2,57.1
26031402,21,0,45.3,51.6,67.4,56.3,55.8,53.9,61.8,39.0,50.2,57.5,62.1,63.7,45.6,44.7,49.7,42.9,54.9,38.2,50.2,50.6,48.6,54.8,53.5,52.3,64.8,45.2,49.8,52.6,60.4,57.8,51.9,39.7,51.2,60.5,46.2,47.9,45.2,52.2
26031408,22,1,56.9,41.7,48.0,45.8,57.9,43.4,42.2,46.6,57.6,61.6,54.5,47.6,61.8,61.2,64.5,63.1,50.3,49.7,58.4,56.9,56.3,48.0,58.1,46.9,60.4,27.8,53.8,54.2,60.4,52.8,47.5,53.3,66.3,60.5,62.7,59.8,60.1,62.0
26031410,21,0,46.0,62.6,45.2,63.7,39.8,30.0,46.2,51.0,55.1,48.6,46.3,61.0,53.1,61.2,49.7,51.0,41.1,42.0,58.4,63.2,48.6,46.5,58.1,52.3,47.0,32.2,53.8,47.7,49.2,57.8,34.1,53.3,65.1,57.3,62.7,63.8,60.1,57.1
26031704,21,1,62.3,47.3,49.9,58.1,61.9,44.9,50.1,49.9,53.9,64.1,58.0,55.7,46.9,44.7,42.3,47.0,41.1,57.3,54.3,50.6,44.8,54.8,53.5,52.3,55.9,53.9,49.8,47.7,37.9,52.8,51.9,48.8,55.3,47.9,57.2,55.9,60.1,47.3
26031706,21,0,61.6,56.5,57.9,60.5,43.8,47.9,57.9,42.3,46.5,44.5,50.9,55.7,51.0,53.0,49.7,59.1,50.3,45.9,41.9,56.9,48.6,35.9,53.5,41.4,33.6,36.5,41.7,50.9,49.2,52.8,47.5,53.3,64.4,57.3,68.1,59.8,55.1,52.2
26031803,21,0,48.4,55.1,26.0,48.0,61.9,50.1,38.3,45.5,45.3,58.3,50.9,61.0,41.2,40.6,53.4,42.9,41.1,45.9,41.9,50.6,40.9,52.9,62.8,52.3,60.4,40.9,45.7,41.1,54.8,32.8,43.0,44.2,54.6,51.1,62.7,47.9,50.2,47.3
