受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26030305,21,1,58.3,65.8,37.7,62.7,43.8,57.6,61.8,37.9,53.9,60.8,57.0,47.6,53.7,53.0,46.0,59.1,59.5,57.3,46.0,56.9,40.9,54.4,62.8,46.9,51.5,45.2,61.9,54.2,60.4,42.8,47.5,62.4,54.1,51.1,51.7,55.9,55.1,52.2
26030404,21,1,48.0,45.1,51.6,35.7,23.7,20.0,20.0,23.7,20.0,20.0,20.0,34.3,56.8,48.9,57.1,47.0,45.7,68.8,54.3,63.2,48.6,55.6,44.2,63.2,51.5,45.2,66.0,60.8,60.4,47.8,65.3,57.9,57.8,60.5,57.2,51.9,50.2,52.2
26030501,22,1,38.0,56.8,47.7,56.9,41.8,56.1,57.9,49.9,58.8,55.1,52.4,42.3,64.5,65.3,46.0,63.1,64.1,57.3,50.2,56.9,67.8,54.1,62.8,46.9,51.5,53.9,49.8,55.9,54.8,52.8,51.9,57.9,58.9,54.2,62.7,51.9,55.1,52.2
26030602,22,0,55.6,40.6,53.7,32.4,55.8,31.5,38.3,36.8,36.7,50.2,40.6,58.3,34.6,44.7,46.0,42.9,36.6,45.9,33.7,31.9,40.9,28.7,30.3,36.0,51.5,32.2,25.4,26.3,37.9,27.8,34.1,30.6,33.6,38.5,40.7,32.0,45.2,37.4
26030603,21,1,42.6,47.6,54.7,30.0,53.8,52.4,30.5,36.8,41.6,49.4,61.6,53.0,41.4,40.6,49.7,42.9,41.1,53.5,50.2,38.1,40.9,52.9,48.9,52.3,60.4,53.9,41.7,42.7,49.2,52.8,47.5,30.6,45.3,47.9,40.7,51.9,45.2,52.2
26030605,21,0,53.9,51.5,59.9,67.7,45.8,57.6,42.2,30.2,35.5,60.8,51.9,55.7,46.9,36.5,57.1,42.9,36.6,45.9,66.6,50.6,48.6,52.9,44.2,57.8,60.4,62.6,29.5,49.3,60.4,37.8,47.5,53.3,49.4,60.5,29.7,51.9,55.1,62.0
26030701,24,0,55.2,52.6,35.8,54.7,57.9,50.9,50.1,45.5,61.2,46.1,47.3,47.6,54.8,44.7,49.7,63.1,41.1,53.5,58.4,63.2,48.6,49.5,44.2,52.3,51.5,49.6,49.8,50.9,43.5,47.8,56.4,53.3,57.5,57.3,51.7,51.9,60.1,57.1
26030703,23,1,60.2,58.9,53.2,56.4,49.8,62.1,42.2,36.8,61.2,60.8,60.1,47.6,65.4,61.2,60.8,67.2,54.9,61.2,46.0,56.9,67.8,63.5,62.8,52.3,64.8,53.9,61.9,47.7,60.4,37.8,47.5,48.8,62.7,60.5,51.7,63.8,60.1,62.0
26030704,21,0,43.0,52.0,55.5,72.4,53.8,59.8,54.0,41.2,45.3,57.5,55.5,31.6,47.1,48.9,46.0,51.0,36.6,49.7,50.2,56.9,44.8,54.1,62.8,57.8,42.6,53.9,49.8,57.5,60.4,57.8,51.9,53.3,49.9,54.2,46.2,47.9,50.2,52.2
26030706,21,1,56.1,63.9,58.7,54.9,67.9,62.1,61.8,44.5,51.4,64.1,62.1,61.0,60.8,48.9,53.4,67.2,59.5,53.5,50.2,56.9,64.0,59.4,44.2,63.2,55.9,58.3,57.9,54.2,43.5,52.8,60.9,53.3,62.7,60.5,51.7,63.8,60.1,62.0
