受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26041809,21,1,52.5,52.3,61.5,37.4,55.8,56.8,46.2,39.0,41.6,64.1,59.1,61.0,52.7,40.6,57.1,47.0,68.7,53.5,46.0,63.2,40.9,56.0,62.8,46.9,60.4,53.9,45.7,42.7,60.4,47.8,47.5,26.0,43.0,60.5,46.2,28.1,35.3,47.3
26042310,23,0,35.0,45.8,63.0,38.5,33.7,34.5,46.2,31.3,45.3,36.3,40.1,50.3,35.6,40.6,27.4,55.0,50.3,34.4,20.0,56.9,44.8,20.0,25.7,20.0,33.6,23.5,25.4,39.4,37.9,37.8,43.0,48.8,35.5,41.7,57.2,36.0,25.4,22.7
26042311,24,1,54.5,51.1,53.2,40.6,61.9,39.0,46.2,43.4,55.1,57.5,56.0,61.0,44.4,48.9,49.7,42.9,59.5,45.9,37.8,56.9,33.3,51.0,62.8,41.4,64.8,36.5,49.8,54.2,60.4,47.8,60.9,44.2,51.9,60.5,40.7,51.9,60.1,47.3
26042313,21,1,64.1,50.5,44.0,56.0,57.9,57.6,54.0,54.3,66.1,60.8,56.0,34.3,72.4,69.5,60.8,71.2,59.5,57.3,66.6,50.6,75.5,65.4,53.5,63.2,55.9,62.6,66.0,62.5,49.2,62.8,56.4,67.0,71.9,60.5,73.6,63.8,60.1,62.0
26042315,21,0,57.1,59.0,53.4,57.2,53.8,30.0,46.2,35.7,49.0,52.6,50.9,61.0,41.0,40.6,57.1,42.9,45.7,34.4,62.5,38.1,37.1,43.4,58.1,30.5,64.8,36.5,37.6,54.2,54.8,57.8,43.0,57.9,63.0,60.5,57.2,59.8,60.1,57.1
26042406,23,0,36.1,48.9,43.5,42.5,57.9,50.9,61.8,32.4,26.9,49.4,50.4,39.6,43.5,36.5,64.5,51.0,41.1,42.0,29.6,56.9,48.6,45.7,58.1,46.9,55.9,32.2,45.7,36.1,32.3,22.8,65.3,35.1,26.6,54.2,29.7,32.0,20.0,27.6
26042502,21,0,32.2,41.3,65.9,40.8,67.9,62.1,73.6,53.2,58.8,64.1,67.7,61.0,61.8,65.3,57.1,59.1,64.1,57.3,50.2,50.6,56.3,51.0,35.0,57.8,60.4,53.9,41.7,60.8,54.8,57.8,60.9,57.9,55.8,60.5,57.2,51.9,45.2,47.3
26042505,21,1,60.5,51.3,56.6,43.4,51.8,48.6,57.9,47.7,55.1,39.6,59.6,47.6,52.1,53.0,38.5,47.0,59.5,49.7,50.2,50.6,60.1,47.2,58.1,46.9,51.5,40.9,45.7,49.3,54.8,52.8,43.0,48.8,48.9,60.5,40.7,51.9,45.2,47.3
26042506,21,1,48.6,45.2,37.3,27.5,61.9,56.8,65.8,35.7,46.5,55.1,65.2,45.0,56.8,48.9,42.3,67.2,64.1,38.2,54.3,63.2,56.3,48.0,58.1,36.0,64.8,45.2,37.6,60.8,54.8,57.8,69.8,48.8,49.6,54.2,62.7,36.0,30.4,52.2
26042507,25,0,52.0,44.5,41.5,63.3,63.9,37.5,50.1,47.7,51.4,60.8,63.7,66.4,41.0,36.5,71.9,38.9,32.0,38.2,41.9,63.2,37.1,66.6,58.1,63.2,64.8,53.9,66.0,60.8,60.4,67.8,38.6,67.0,46.6,60.5,35.2,47.9,55.1,42.3
