受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26051302,21,1,56.8,44.9,58.3,49.1,45.8,57.6,50.1,45.5,41.6,54.3,64.2,63.7,46.2,36.5,60.8,38.9,36.6,49.7,58.4,56.9,44.8,65.8,62.8,63.2,60.4,62.6,53.8,41.1,60.4,52.8,34.1,30.6,69.6,60.5,68.1,63.8,60.1,62.0
26051303,21,1,35.6,56.3,35.0,56.0,57.9,65.8,54.0,43.4,56.3,64.1,66.2,50.3,60.6,61.2,64.5,59.1,45.7,45.9,62.5,63.2,52.4,66.6,62.8,57.8,55.9,66.9,61.9,64.1,60.4,62.8,60.9,57.9,62.7,60.5,51.7,63.8,60.1,62.0
26051304,22,1,55.0,52.0,46.4,58.4,65.9,56.8,46.2,51.0,30.6,55.9,37.6,47.6,58.9,69.5,49.7,51.0,68.7,68.8,29.6,50.6,56.3,38.9,20.0,52.3,24.7,58.3,61.9,50.9,60.4,62.8,29.6,53.3,52.3,44.8,62.7,47.9,60.1,37.4
26051401,21,1,42.5,49.1,60.7,52.1,51.8,53.9,65.8,33.5,42.8,42.8,65.7,55.7,47.3,40.6,64.5,51.0,36.6,49.7,46.0,63.2,37.1,47.2,53.5,46.9,60.4,32.2,49.8,60.8,60.4,42.8,69.8,57.9,46.4,32.3,57.2,47.9,50.2,52.2
26051403,21,1,65.0,49.6,60.8,48.8,43.8,40.5,38.3,44.5,40.4,51.8,43.2,63.7,37.9,40.6,46.0,47.0,36.6,42.0,50.2,44.4,33.3,48.4,62.8,41.4,42.6,53.9,45.7,37.8,43.5,47.8,29.6,44.2,48.9,47.9,51.7,51.9,45.2,47.3
26051405,22,1,54.7,59.9,70.3,58.4,69.9,59.1,73.6,52.1,64.9,64.1,67.7,61.0,66.2,53.0,53.4,71.2,68.7,49.7,66.6,63.2,56.3,62.4,53.5,57.8,60.4,53.9,66.0,62.5,60.4,57.8,65.3,53.3,69.6,60.5,68.1,63.8,60.1,62.0
26051407,27,0,58.0,51.0,35.8,57.6,69.9,62.1,42.2,56.5,49.0,64.1,34.0,61.0,46.2,36.5,60.8,55.0,32.0,42.0,62.5,44.4,48.6,63.2,62.8,63.2,51.5,53.9,66.0,65.8,60.4,57.8,60.9,67.0,57.8,60.5,57.2,55.9,55.1,42.3
26051503,24,0,45.3,63.1,49.5,51.4,47.8,49.4,38.3,49.9,57.6,55.9,55.0,37.0,55.2,57.1,64.5,51.0,68.7,57.3,33.7,31.9,64.0,55.2,62.8,46.9,55.9,49.6,53.8,57.5,54.8,52.8,51.9,62.4,53.6,38.5,51.7,63.8,60.1,57.1
26051601,25,0,60.7,46.0,60.5,25.9,55.8,53.9,61.8,43.4,46.5,58.3,45.2,58.3,51.4,53.0,49.7,51.0,59.5,57.3,41.9,50.6,44.8,35.9,25.7,52.3,38.1,36.5,49.8,20.0,20.0,20.0,34.1,48.8,24.6,20.0,40.7,28.1,25.4,52.2
26051602,22,0,43.0,54.8,46.7,45.2,47.8,48.6,50.1,41.2,41.6,46.9,52.9,45.0,39.2,44.7,46.0,42.9,41.1,49.7,29.6,50.6,40.9,40.0,48.9,46.9,51.5,36.5,33.6,49.3,43.5,47.8,51.9,53.3,42.5,47.9,46.2,36.0,45.2,47.3
