受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26031212,22,0,42.4,45.4,68.9,32.6,47.8,44.2,50.1,24.8,30.6,37.1,47.8,42.3,38.5,53.0,42.3,42.9,45.7,42.0,37.8,38.1,40.9,40.8,53.5,46.9,51.5,45.2,21.4,57.5,54.8,57.8,56.4,53.3,38.6,54.2,46.2,24.1,35.3,42.3
26031701,21,0,65.5,40.5,48.7,25.3,61.9,53.9,50.1,47.7,41.6,61.6,55.0,58.3,22.3,36.5,20.0,34.9,36.6,42.0,20.0,50.6,33.3,20.0,25.7,25.1,20.0,27.8,21.4,20.0,20.0,20.0,20.0,35.1,20.0,20.0,46.2,20.0,25.4,27.6
26031702,22,0,39.2,30.4,42.2,39.8,65.9,56.1,46.2,30.2,51.4,64.1,73.9,42.3,50.0,48.9,46.0,38.9,36.6,68.8,50.2,38.1,67.8,51.4,58.1,63.2,64.8,36.5,33.6,54.2,54.8,62.8,51.9,44.2,38.9,47.9,35.2,51.9,35.3,42.3
26031705,21,0,44.3,58.2,51.5,44.9,49.8,45.7,61.8,31.3,44.1,54.3,52.4,66.4,46.2,53.0,38.5,55.0,59.5,34.4,50.2,50.6,40.9,44.6,48.9,41.4,51.5,40.9,49.8,46.0,49.2,47.8,51.9,39.7,53.5,47.9,62.7,51.9,45.2,47.3
26031709,21,1,38.7,51.2,43.8,49.9,49.8,53.9,57.9,43.4,39.2,58.3,55.5,66.4,37.1,36.5,38.5,42.9,36.6,45.9,37.8,50.6,44.8,43.4,53.5,46.9,47.0,40.9,41.7,60.8,60.4,52.8,56.4,62.4,46.8,47.9,51.7,44.0,45.2,47.3
26031805,21,1,38.8,47.3,53.8,44.0,53.8,60.6,54.0,32.4,52.6,46.1,47.3,63.7,45.6,36.5,49.7,42.9,50.3,57.3,58.4,50.6,33.3,47.6,44.2,52.3,47.0,45.2,53.8,50.9,49.2,47.8,51.9,53.3,34.8,41.7,40.7,28.1,45.2,42.3
26031809,23,0,46.9,46.8,61.2,46.7,51.8,59.8,61.8,23.7,52.6,45.3,70.8,63.7,41.9,40.6,42.3,42.9,54.9,61.2,41.9,38.1,37.1,65.8,58.1,63.2,64.8,58.3,57.9,60.8,60.4,57.8,60.9,53.3,55.4,57.3,51.7,51.9,50.2,57.1
26031814,21,1,66.7,56.1,60.9,51.2,59.9,57.6,42.2,52.1,56.3,60.8,58.5,55.7,57.9,53.0,46.0,63.1,54.9,49.7,62.5,44.4,64.0,66.2,44.2,63.2,64.8,62.6,66.0,59.2,60.4,62.8,56.4,48.8,59.3,57.3,46.2,63.8,60.1,62.0
26031902,23,1,56.9,59.7,43.6,41.1,55.8,65.8,57.9,52.1,60.0,57.5,49.3,47.6,61.4,53.0,57.1,55.0,64.1,53.5,66.6,56.9,52.4,62.0,53.5,63.2,64.8,53.9,53.8,57.5,60.4,52.8,56.4,53.3,60.4,54.2,51.7,63.8,60.1,62.0
26032503,21,1,46.4,51.5,58.8,41.8,49.8,50.9,57.9,37.9,51.4,55.1,52.9,63.7,50.4,44.7,53.4,55.0,54.9,57.3,37.8,50.6,48.6,60.5,48.9,57.8,64.8,53.9,57.9,46.0,54.8,37.8,43.0,53.3,43.2,47.9,40.7,47.9,45.2,47.3
