受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26022503,21,1,59.4,34.0,48.9,26.2,65.9,58.3,38.3,49.9,41.6,51.8,32.5,53.0,42.3,53.0,57.1,34.9,41.1,68.8,29.6,20.0,56.3,41.9,62.8,57.8,29.2,45.2,33.6,34.5,20.0,57.8,29.6,67.0,29.1,20.0,57.2,24.1,45.2,42.3
26022512,21,1,61.4,54.9,50.0,36.6,65.9,62.8,61.8,56.5,68.6,60.8,63.7,53.0,64.5,73.6,53.4,67.2,80.0,45.9,50.2,50.6,52.4,64.3,30.3,63.2,64.8,66.9,66.0,52.6,21.0,67.8,47.5,67.0,47.8,41.7,57.2,44.0,35.3,62.0
26022603,21,1,43.7,52.8,70.3,51.5,65.9,59.1,65.8,44.5,37.9,60.8,61.1,50.3,54.8,48.9,42.3,67.2,59.5,45.9,41.9,56.9,60.1,52.9,62.8,63.2,51.5,40.9,45.7,60.8,60.4,57.8,60.9,53.3,63.9,51.1,62.7,63.8,60.1,62.0
26022804,21,1,59.1,61.6,50.0,47.9,39.8,33.0,46.2,49.9,35.5,43.7,29.9,61.0,37.5,40.6,46.0,42.9,36.6,49.7,58.4,25.6,37.1,40.8,35.0,41.4,47.0,53.9,37.6,46.0,60.4,37.8,38.6,53.3,47.8,60.5,40.7,44.0,50.2,47.3
26022807,22,1,49.2,58.2,56.2,59.8,69.9,56.1,65.8,47.7,71.0,54.3,68.3,63.7,69.3,73.6,57.1,75.2,59.5,42.0,66.6,63.2,60.1,72.3,62.8,63.2,64.8,66.9,66.0,70.7,60.4,62.8,69.8,67.0,69.6,60.5,68.1,63.8,60.1,62.0
26022809,22,0,48.0,57.0,45.2,56.4,65.9,62.1,61.8,49.9,66.1,64.1,59.6,63.7,53.5,48.9,57.1,59.1,45.7,49.7,37.8,63.2,56.3,72.3,62.8,63.2,64.8,66.9,66.0,72.3,60.4,67.8,69.8,67.0,62.7,60.5,51.7,63.8,60.1,62.0
26022810,21,1,48.7,45.9,43.4,47.4,45.8,31.5,46.2,41.2,40.4,20.0,26.8,45.0,24.8,40.6,20.0,55.0,27.4,38.2,21.4,44.4,29.4,20.0,39.6,30.5,20.3,32.2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.7,20.0,35.3,20.0
26030402,24,1,60.4,46.5,29.5,53.4,67.9,53.9,61.8,51.0,57.6,48.6,49.9,61.0,59.8,57.1,57.1,55.0,45.7,45.9,62.5,56.9,67.8,51.4,58.1,30.5,60.4,40.9,66.0,72.3,60.4,67.8,69.8,67.0,58.1,60.5,40.7,63.8,60.1,62.0
26030403,22,2,42.9,50.1,66.3,49.1,51.8,28.5,34.4,41.2,35.5,45.3,48.8,66.4,42.9,36.5,68.2,42.9,41.1,49.7,46.0,50.6,33.3,39.7,48.9,36.0,51.5,40.9,37.6,47.7,49.2,42.8,47.5,53.3,42.3,51.1,40.7,36.0,50.2,47.3
26030502,21,1,62.3,48.2,45.3,54.0,49.8,46.4,50.1,47.7,52.6,41.2,55.5,23.6,63.5,69.5,57.1,51.0,68.7,42.0,50.2,63.2,67.8,41.9,30.3,46.9,42.6,53.9,45.7,49.3,54.8,52.8,38.6,53.3,51.8,57.3,40.7,55.9,55.1,52.2
26030601,21,1,52.2,49.2,52.9,47.6,67.9,56.8,34.4,46.6,53.9,60.8,68.3,63.7,55.6,61.2,49.7,59.1,45.7,42.0,50.2,63.2,56.3,65.1,62.8,63.2,60.4,53.9,61.9,60.8,60.4,67.8,51.9,53.3,64.5,60.5,68.1,47.9,60.1,57.1
26030607,21,0,45.5,50.8,29.5,48.7,41.8,56.1,50.1,52.1,45.3,52.6,33.5,61.0,42.5,40.6,46.0,47.0,50.3,42.0,50.2,38.1,48.6,47.6,48.9,57.8,47.0,40.9,49.8,46.0,49.2,32.8,47.5,57.9,44.1,57.3,51.7,36.0,30.4,42.3
26030608,21,0,48.2,55.3,32.2,49.3,61.9,71.0,73.6,43.4,71.0,59.2,30.9,39.6,65.0,65.3,46.0,59.1,68.7,57.3,54.3,63.2,60.1,68.5,58.1,63.2,60.4,66.9,61.9,64.1,49.2,62.8,60.9,67.0,58.4,60.5,46.2,63.8,60.1,52.2
26030609,21,0,37.9,37.1,58.6,41.0,45.8,38.2,50.1,34.6,39.2,39.6,43.2,47.6,38.3,40.6,46.0,42.9,45.7,38.2,37.8,50.6,40.9,36.2,48.9,36.0,47.0,32.2,41.7,42.7,37.9,47.8,47.5,44.2,38.1,47.9,40.7,36.0,45.2,37.4
26030610,24,0,66.9,56.7,61.9,35.9,51.8,50.9,46.2,46.6,53.9,34.7,43.2,45.0,52.7,48.9,42.3,63.1,59.5,49.7,62.5,38.1,48.6,43.4,44.2,46.9,38.1,49.6,49.8,49.3,43.5,52.8,47.5,53.3,55.2,51.1,51.7,59.8,55.1,52.2
26030702,21,1,41.1,35.9,70.3,44.5,53.8,56.8,50.1,36.8,49.0,54.3,72.4,58.3,52.5,44.7,60.8,51.0,50.3,53.5,54.3,50.6,48.6,56.3,48.9,46.9,64.8,53.9,53.8,52.6,60.4,42.8,56.4,48.8,58.6,60.5,51.7,55.9,60.1,52.2
26030707,21,1,20.0,20.6,60.3,28.0,45.8,41.2,50.1,46.6,56.3,49.4,55.0,37.0,54.6,65.3,46.0,67.2,59.5,42.0,37.8,44.4,60.1,41.9,48.9,41.4,47.0,40.9,45.7,52.6,43.5,52.8,56.4,53.3,56.7,51.1,62.7,59.8,45.2,47.3
26030708,21,0,28.7,58.7,56.9,51.7,33.7,56.8,65.8,43.4,62.5,51.0,55.5,61.0,57.3,48.9,49.7,63.1,59.5,53.5,41.9,63.2,56.3,58.6,53.5,46.9,64.8,53.9,57.9,59.2,60.4,52.8,56.4,57.9,56.8,54.2,62.7,55.9,45.2,47.3
26031101,20,0,36.0,43.3,46.6,59.4,59.9,43.4,42.2,45.5,30.6,40.4,40.1,53.0,48.9,48.9,34.8,55.0,54.9,53.5,37.8,50.6,56.3,42.7,53.5,41.4,51.5,45.2,33.6,52.6,43.5,52.8,47.5,62.4,26.8,41.7,46.2,28.1,20.0,27.6
26031106,22,0,55.3,54.8,57.4,51.8,45.8,59.1,42.2,41.2,55.1,42.0,50.4,26.3,62.9,44.7,60.8,63.1,68.7,53.5,58.4,56.9,60.1,49.1,44.2,57.8,42.6,49.6,53.8,49.3,43.5,52.8,43.0,57.9,44.3,41.7,46.2,44.0,55.1,47.3
